LON,LAT,PUERTO,UNLOCODE,RANGO,CCAA_PUERTO,OBSERVACIONES
-8.8771061303482597,41.899304071317601,A Guarda,ESUAR,0.29999999999999999,Galicia,
-8.8770697361305295,42.001857194124703,Oia,,0.070000000000000007,Galicia,Sin UNLOCODE
-8.8453032041320494,42.119997833228602,Bayona,ESBYN,0.5,Galicia,
-8.8248010053090606,42.142880217624899,Panxón,,0.14999999999999999,Galicia,Sin UNLOCODE
-8.8002492048564491,42.194257593919197,Canido,,0.20000000000000001,Galicia,Sin UNLOCODE
-8.7315572963546,42.236921241184099,Vigo,ESVGO,2.5,Galicia,
-8.6742032639975104,42.267860975182799,Chapela,ESCHA,0.10000000000000001,Galicia,
-8.6162947230888207,42.294535963189801,Redondela,ESRED,0.14999999999999999,Galicia,
-8.6141314973988905,42.340281474662703,Arcade,ESAAE,0.10000000000000001,Galicia,
-8.6559360357880895,42.301957067484203,San Adrián de Cobres,,0.29999999999999999,Galicia,Sin UNLOCODE
-8.6832810928098194,42.284589986798998,Domaio,,0.20000000000000001,Galicia,Sin UNLOCODE
-8.7203433697080808,42.283065617119902,Meira,,0.20000000000000001,Galicia,Sin UNLOCODE
-8.7363103850287107,42.274065940023803,Moaña,ESMOA,0.29999999999999999,Galicia,
-8.7850461694258897,42.260275180963397,Cangas,ESCAG,0.40000000000000002,Galicia,Aparece con dos entradas. En estos casos he elegido el que me parece más lógico pero para que lo tengáis en cuenta
-8.8217551852581497,42.282389565091002,Aldán,,0.20000000000000001,Galicia,Sin UNLOCODE
-8.7848607017734306,42.327502976618398,Bueu,ESBUE,0.29999999999999999,Galicia,
-8.7363884954455902,42.375699820361397,Aguete,,0.10000000000000001,Galicia,Sin UNLOCODE
-8.6960018466778397,42.395813086045997,Marín,ESMAR,1.2,Galicia,Aparece con dos entradas. En estos casos he elegido el que me parece más lógico pero para que lo tengáis en cuenta
-8.6856035079197706,42.426679207712503,Campelo,,0.10000000000000001,Galicia,Sin UNLOCODE
-8.7063164538366493,42.429165069956703,Combarro,,0.20000000000000001,Galicia,Sin UNLOCODE
-8.7550075424161502,42.402942790794398,Raxó,,0.14999999999999999,Galicia,Sin UNLOCODE
-8.8045066459967405,42.397731792409601,Sanxenxo,ESHVC,0.20000000000000001,Galicia,
-8.8240236653484594,42.394783824043898,Portonovo,ESZJN,0.20000000000000001,Galicia,
-8.9200945550083706,42.457762227746997,San Vicente do mar,,0.20000000000000001,Galicia,Sin UNLOCODE
-8.8896353888569397,42.490495083962799,Meloxo,,0.29999999999999999,Galicia,Sin UNLOCODE
-8.8624851988301891,42.495756355926403,Grove,ESEGR,0.29999999999999999,Galicia,
-8.81777668319301,42.512431022920502,Cambados,ESCBD,0.29999999999999999,Galicia,
-8.8674770716333207,42.564374577676503,Isla de Arousa,ESISA,0.29999999999999999,Galicia,
-8.8303635464705206,42.563151082246101,Villanueva de Arosa,ESVAY,0.40000000000000002,Galicia,
-8.7892008572847509,42.589150764378097,Vilaxoan,,0.20000000000000001,Galicia,El puerto de Vilaxoan se usa como puerto pesquero de Vilagarcía (está muy próximo). El puerto de Vilagarcía se usa para temas comerciales de diversa índole. En este caso no se si es adecuado ponerle el código de Vilagarcía o generar uno nuevo.
-8.77763601794355,42.614288490981998,Carril,ESCIL,0.070000000000000007,Galicia,
-8.8219869131432898,42.648317480818598,Rianxo,ESRXO,0.29999999999999999,Galicia,Aparece con dos entradas una en gallego y otra en castellano. Elegí una.
-8.8874319659648595,42.615465557625697,Cabo de cruz,,0.40000000000000002,Galicia,"En Boiro no hay puerto pesquero, las embarcaciones descargan en Cabo de Cruz y algunos en Escarabote pq son los puertos próximos a Boiro. No le he puesto el código de Boiro pq pasa como en el caso de Vilagarcía lo dejo a vuestro criterio."
-8.9030647376197205,42.636330835024502,Escarabote,,0.20000000000000001,Galicia,Sin UNLOCODE
-8.9371362497023892,42.607302047814201,Puebla del caramiñal,ESLPC,0.5,Galicia,Aparece con dos entradas una en gallego y otra en castellano. Elegí una.
-8.9581418798260302,42.579623297343304,Palmeira,,0.14999999999999999,Galicia,Sin UNLOCODE
-8.9912559947758801,42.558559766212802,Ribeira,ESREA,0.5,Galicia,Aparece con dos entradas una en gallego y otra en castellano. Elegí una.
-9.0196554130201907,42.520106878514298,Carreira-Aguiño,,0.20000000000000001,Galicia,Sin UNLOCODE
-9.0724992224271706,42.573267232278397,Corrubedo,ESCR5,0.20000000000000001,Galicia,
-9.0028804137537506,42.725852759377901,Porto do Son,ESPRS,0.29999999999999999,Galicia,
-8.94549373040417,42.760787785677202,Portosin,ESPRT,0.40000000000000002,Galicia,
-8.9101714842624098,42.790626373600098,Noia,ESNOA,0.14999999999999999,Galicia,
-8.9461664655778907,42.795347426305298,Freixo,,0.29999999999999999,Galicia,Sin UNLOCODE
-9.05627451520653,42.775149557811602,Muros,ESMRS,0.29999999999999999,Galicia,
-9.1373381909267604,42.805590621976201,Carnota,ESCRN,0.10000000000000001,Galicia,
-9.1341058246986595,42.896879852584398,Pindo,,0.20000000000000001,Galicia,Sin UNLOCODE
-9.1869135508060893,42.951007952592903,Cee,ESCEE,0.14999999999999999,Galicia,
-9.1911444127734097,42.944755074303899,Corcubión,ESCCN,0.20000000000000001,Galicia,
-9.2618864902476901,42.908155583542602,Finisterre,ESFNE,0.29999999999999999,Galicia,
-9.2168509510430496,43.105343408818399,Muxía,ESMGA,0.40000000000000002,Galicia,
-9.1840417184666894,43.129023322304803,Camariñas,ESIAS,0.40000000000000002,Galicia,
-9.0904513822179407,43.1850479922727,Camelle,,0.10000000000000001,Galicia,Sin UNLOCODE
-9.0041238630544704,43.223181762559499,Lage,ESLAX,0.20000000000000001,Galicia,
-8.9654416394878993,43.263086002248798,Corme,,0.20000000000000001,Galicia,Sin UNLOCODE
-8.8805286565534605,43.314571540633601,Barizo,,0.14999999999999999,Galicia,Sin UNLOCODE
-8.8097209252528597,43.322945805259401,Malpica,ESMAI,0.29999999999999999,Galicia,
-8.6040785239552608,43.319896552534402,Caión,,0.10000000000000001,Galicia,Sin UNLOCODE
-8.40367068587814,43.362641022515298,A Coruña,ESLCG,2.5,Galicia,
-8.3382995008274108,43.377407832683602,Mera,ESMRQ,0.10000000000000001,Galicia,
-8.2989916558280701,43.390674114997303,Lorbé,,0.14999999999999999,Galicia,Sin UNLOCODE
-8.2505993797671202,43.360262324637098,Sada,ESSAD,0.5,Galicia,
-8.2161447964776002,43.351533011559198,Miño,ESMNO,0.10000000000000001,Galicia,
-8.1720168874888994,43.408190180566002,Puentedeume,ESPTD,0.20000000000000001,Galicia,
-8.2574519252530791,43.462413589984003,Mugardos,ESMGR,0.20000000000000001,Galicia,
-8.2468868822875105,43.478867794408501,Ferrol,ESFRO,1,Galicia,
-8.0687738549110808,43.659786053978003,Cedeira,ESCED,0.40000000000000002,Galicia,
-7.8691449581713,43.738632585069901,Cariño,ESCNO,0.5,Galicia,
-7.8120163355226397,43.7225836942591,Espasante,ESEPT,0.20000000000000001,Galicia,"El puerto de Espasante es usado como puerto pesquero de Ortigueira. Es un caso similar al de Vilagarcía y Boiro, dejo a vuestro criterio decidir si se le pone el código de Ortigueira o se genera uno nuevo."
-7.5944745241090796,43.678627516883701,Cillero,ESCEL,0.80000000000000004,Galicia,
-7.4738669130316397,43.718602236433298,San Cibrao,ESSNC,0.40000000000000002,Galicia,
-7.3548669380432496,43.657050430886301,Burela,ESBRL,0.80000000000000004,Galicia,
-7.2565485903569504,43.565939534349297,Foz,ESZBE,1.5,Galicia,
-7.03730410240009,43.539985491499102,Ribadeo,ESRIB,0.40000000000000002,Galicia,
-5.9237798322041453,43.592587771406137,Aviles,ESAVS,3.5,Principado de Asturias,
-5.8112582988772674,43.633359854453779,Bañugues,,0.29999999999999999,Principado de Asturias,Sin UNLOCODE. Propuesta: ESBAÑ
-4.5154375652174714,43.384276315044708,Bustio,,0.5,Principado de Asturias,Sin UNLOCODE. Propuesta: ESBUO
-5.7684603010350859,43.58301380076167,Candás,ESDAS,0.40000000000000002,Principado de Asturias,
-7.0301321546261537,43.526962351111287,Castropol,ESCSO,0.5,Principado de Asturias,
-6.1516744169074888,43.569491642710418,Cudillero,ESCLO,0.5,Principado de Asturias,
-7.0231464672304504,43.537816646772441,Figueras,ESFGU,0.29999999999999999,Principado de Asturias,
-5.6912421819468397,43.568122230507562,Gijón,ESGIJ,3,Principado de Asturias,
-5.2673108516411009,43.516029877139957,Lastres,,0.40000000000000002,Principado de Asturias,Sin UNLOCODE. Propuesta: ESLTS
-4.7524133639495663,43.421364771785257,Llanes,ESLNS,0.40000000000000002,Principado de Asturias,
-5.7925969198838771,43.614922858670127,Luanco,ESLCO,0.29999999999999999,Principado de Asturias,
-6.5336540177710738,43.545934191851273,Luarca,ESLUA,0.5,Principado de Asturias,
-6.2248667030043734,43.586682695104869,Oviñana,,0.40000000000000002,Principado de Asturias,Sin UNLOCODE. Propuesta: ESOVI
-6.644153362629897,43.565547446207582,Puerto de la Vega,,0.59999999999999998,Principado de Asturias,Sin UNLOCODE. Propuesta: ESVEG
-5.0631250391059943,43.46400307750195,Ribadesella,ESRBS,0.80000000000000004,Principado de Asturias,
-6.0749208282448688,43.556694835618153,San Juan de la Arena,ESJLA,1.5,Principado de Asturias,
-6.9433318402814947,43.574773436715923,Tapia de Casariego,ESTPC,0.29999999999999999,Principado de Asturias,
-5.3975457765051953,43.54555371024685,Tazones,,0.29999999999999999,Principado de Asturias,Sin UNLOCODE
-6.8401586449299394,43.563634790351841,Viavélez,,0.40000000000000002,Principado de Asturias,Sin UNLOCODE
-1.7897133684880699,43.384983421526201,Hondarribia,ESHOA,1,Pais Vasco,
-1.9161409948241801,43.322966453951302,Pasaia,ESPAS,1.5,Pais Vasco,
-1.9898602062067099,43.322528636347698,San sebastian,ESEAS,0.5,Pais Vasco,
-2.1278395899418201,43.283893111864799,Orio,ESORI,1,Pais Vasco,
-2.1788041689183499,43.289734214491098,Zarautz,"ESZAU
",0.29999999999999999,Pais Vasco,Puerto muy pequeño. Probablemente sin actividad pesquera.
-2.1996718578643302,43.304890192231902,Getaria,ESGET,0.40000000000000002,Pais Vasco,
-2.25327375014973,43.297790329635099,Zumaya,ESZMY,0.59999999999999998,Pais Vasco,
-2.3561326535354099,43.293734358813097,Deba,ESDBA,1,Pais Vasco,
-2.3811263680235299,43.308435272189001,Mutriku,ESMTU,0.59999999999999998,Pais Vasco,
-2.4202551628347702,43.324929514869602,Ondarroa,ESOND,0.40000000000000002,Pais Vasco,
-2.50043563060188,43.365004484104098,Lekeitio,ESLEK,0.40000000000000002,Pais Vasco,
-2.58332592730252,43.384328597672997,Ea,,0.40000000000000002,Pais Vasco,Sin UNLOCODE
-2.6373958623844298,43.403996522497501,Elantxobe,,0.59999999999999998,Pais Vasco,Sin UNLOCODE
-2.69766402375032,43.4084692938968,Mundaka,ESMKA,0.40000000000000002,Pais Vasco,
-2.7157145754857801,43.419228344424397,Bermeo,ESBRM,0.40000000000000002,Pais Vasco,
-2.8993271126006999,43.4326929628497,Armintza,,0.5,Pais Vasco,Sin UNLOCODE
-2.9463923003563299,43.407605639910898,Plentzia,ESZOD,1.5,Pais Vasco,
-3.0273424635194499,43.331361648104298,Santurtzi,ESSNR,3,Pais Vasco,
-3.2133107870000002,43.381354459999997,Castro Urdiales,ESCUR,0.69999999999999996,Cantabria,
-3.402169684,43.425441970000001,Laredo,ESLDO,0.5,Cantabria,
-3.4527991579999999,43.397347250000003,Colindres,ESCOD,0.5,Cantabria,
-3.4598144460000002,43.445608190000002,Santoña,ESSNN,1.1000000000000001,Cantabria,
-3.8217802750000001,43.452514899999997,Santander,ESSDR,3,Cantabria,
-4.0348635850000001,43.43133375,Suances,ESSUN,0.5,Cantabria,
-4.2888824559999996,43.39169776,Comillas,ESOLL,0.5,Cantabria,
-4.3949666489999997,43.384311279999999,San Vicente de la Barquera,ESSVB,0.5,Cantabria,
-15.7123561695,28.100049592600001,Agaete,ESAGA,0.10000000000000001,Canarias,
-16.829675118200001,28.201032889699999,Alcalá,ESAEM,0.10000000000000001,Canarias,
-15.6842250861,27.757579035799999,Arguineguín,ESARI,0.20000000000000001,Canarias,
-13.536492366099999,28.970954242299999,Arrecife,ESACE,1,Canarias,
-13.5033383048,29.228488108899999,Caleta del Sebo,ESCHR,0.20000000000000001,Canarias,
-16.3685727511,28.356958050999999,Candelaria,ESCEI,0.10000000000000001,Canarias,
-15.4634698117,27.795463731600002,Castillo del Romeral,ESCCM,0.10000000000000001,Canarias,
-13.864715176400001,28.739982183799999,Corralejo,ESZRJ,0.20000000000000001,Canarias,
-14.0123441177,28.6815493181,El Cotillo,ESEEN,0.10000000000000001,Canarias,
-16.4210364395,28.508315644900001,El Pris,ESZMG,0.10000000000000001,Canarias,
-16.7675455798,28.372052876600002,Garachico,ESGRC,0.10000000000000001,Canarias,
-14.0247795081,28.207091861599999,Gran Tarajal,ESGTL,0.20000000000000001,Canarias,
-15.818266445200001,28.006341220900001,La Aldea,ESLAH,0.10000000000000001,Canarias,
-17.903357639100001,27.784122378799999,La Estaca,ESLES,0.29999999999999999,Canarias,
-17.9806114135,27.6397803869,La Restinga,ESLAF,0.10000000000000001,Canarias,
-16.6600108857,28.008128646999999,Las Galletas,ESZBB,0.20000000000000001,Canarias,
-15.4203712648,28.134758075600001,Las Palmas-La Luz,ESLPA,1.5,Canarias,
-16.592505665299999,28.0283791425,Los Abrigos,ESABG,0.10000000000000001,Canarias,
-16.716790636399999,28.048755228299999,Los Cristianos,ESLCR,0.29999999999999999,Canarias,
-15.765159285599999,27.8171750088,Mogán,ESZIH,0.20000000000000001,Canarias,
-14.3612538835,28.050512877399999,Morro Jable,ESMHR,0.29999999999999999,Canarias,
-13.833952160000001,28.858444517100001,Playa Blanca,ESQLY,0.20000000000000001,Canarias,
-17.197979868600001,28.027595138599999,Playa de Santiago,ESPPS,0.20000000000000001,Canarias,
-16.813719673000001,28.179795458600001,Playa San Juan,ESPSJ,0.20000000000000001,Canarias,
-16.724178559799999,28.379532768899999,Playa San Marcos,ESPAM,0.10000000000000001,Canarias,
-16.550402510600001,28.41859694,Puerto de la Cruz,ESRUZ,0.10000000000000001,Canarias,
-13.674890871500001,28.9218293791,Puerto del Carmen,ESPUC,0.20000000000000001,Canarias,
-13.8584138759,28.494473559599999,Puerto Del Rosario,ESFUE,0.29999999999999999,Canarias,
-16.920072210000001,28.342713010899999,Punta de Teno,ESBVN,0.10000000000000001,Canarias,
-16.332004810000001,28.564235380900001,Punta Hidalgo,ESPHD,0.10000000000000001,Canarias,
-16.188680720099999,28.5061854044,San Andrés,ESSEM,0.20000000000000001,Canarias,
-15.4143220627,28.076137368600001,San Cristóbal,ESSCK,0.10000000000000001,Canarias,
-16.470138505200001,28.108787422300001,San Miguel de Tajao,ESMDT,0.10000000000000001,Canarias,
-17.769782873800001,28.675937293800001,Santa Cruz de La Palma,ESSPC,0.5,Canarias,
-16.208098486099999,28.4984618328,Santa Cruz de Tenerife-Dársena Pesquera,ESSCT,0.59999999999999998,Canarias,
-15.3692271685,27.9906373243,Taliarte,ESTAN,0.20000000000000001,Canarias,
-17.9416319724,28.6431545274,Tazacorte,ESTAZ,0.40000000000000002,Canarias,
-17.331340663799999,28.0808249201,Valle Gran Rey,ESVGR,0.29999999999999999,Canarias,
-13.452151151800001,29.2232288125,Órzola,ESOZL,0.10000000000000001,Canarias,
0.47520717583304301,40.463961610598403,Vinaroz,ESVZR,0.34999999999999998,Comunidad Valenciana,
0.43224225091146301,40.414779572092002,Benicarlo,ESBNI,0.40000000000000002,Comunidad Valenciana,
0.40348415253098902,40.357320234133198,Peñiscola,ESPNL,0.29999999999999999,Comunidad Valenciana,
0.021121550329139999,39.964167251541902,Castellon,ESCAS,1,Comunidad Valenciana,
-0.070880824134709003,39.862113329556202,Burriana,ESBRX,0.33000000000000002,Comunidad Valenciana,
-0.21091134389984201,39.644287236204498,Sagunto,ESSAG,1.25,Comunidad Valenciana,
-0.32762640705582002,39.459473388764202,Valencia,ESVLC,0.29999999999999999,Comunidad Valenciana,
-0.25524564183658299,39.160457508918903,Cullera,ESERA,1.5,Comunidad Valenciana,
-0.15825548527718999,38.993994185696302,Gandia,ESGAN,0.57499999999999996,Comunidad Valenciana,
0.114517561353222,38.8409485260729,Denia,ESDNA,0.75,Comunidad Valenciana,
0.186125655936795,38.7973763677658,Javea,ESJAV,0.34999999999999998,Comunidad Valenciana,
0.13625843304539501,38.6866638535204,Moraira,ESMRA,0.17999999999999999,Comunidad Valenciana,
0.070280305631874998,38.637622137540802,Calpe,ESCLP,0.25,Comunidad Valenciana,
-0.054929336573410002,38.589150704427702,Altea,ESAQA,0.20000000000000001,Comunidad Valenciana,
-0.13354341000568501,38.534922147931802,Benidorm,ESBEM,0.13,Comunidad Valenciana,
-0.21788444394631401,38.507978205001301,Villajoyosa,ESVJY,0.20000000000000001,Comunidad Valenciana,
-0.384569920012581,38.430857527243901,El campello,ESECP,0.20000000000000001,Comunidad Valenciana,
-0.50393959445099201,38.329118091222703,Alicante,ESALC,0.29999999999999999,Comunidad Valenciana,
-0.56057229215638604,38.189295478423297,Santa pola,ESSPO,0.32000000000000001,Comunidad Valenciana,
-0.64559320759858196,38.110685161503397,Guardamar del Segura,ESGDS,0.22,Comunidad Valenciana,
-0.68598919016245297,37.971973312611397,Torrevieja,ESTOR,0.66000000000000003,Comunidad Valenciana,
-0.75550804936320903,37.820965389861797,San pedro del Pinatar,ESSPP,0.17000000000000001,Región de Murcia,
-0.70185256116996797,37.6323848323037,Cabo de palos,ESCAP,0.23000000000000001,Región de Murcia,
-0.980702599725785,37.593153433870597,Cartagena,ESCAR,0.82999999999999996,Región de Murcia,
-1.2568066309867201,37.563773872769701,Mazarron,ESMZO,0.23999999999999999,Región de Murcia,
-1.5765249742102401,37.404285200701203,Aguilas,ESAGU,0.23999999999999999,Región de Murcia,
-5.6051599999999997,36.009099999999997,Tarifa,ESTRF,0.59999999999999998,Andalucía,
-1.81968,37.182299999999998,Garrucha,ESGAR,0.29999999999999999,Andalucía,
-1.89855,36.9900,Carboneras,ESCRS,0.20000000000000001,Andalucía,
-2.4828600000000001,36.834800000000001,Almeria,ESLEI,1,Andalucía,
-2.79006,36.695399999999999,Almerimar,,0.29999999999999999,Andalucía,Sin UNLOCODE. Codigo (ESEEJ) corresponde a la población de El Ejido.
-2.6060400000000001,36.755200000000002,Roquetas de Mar,ESRQM,0.17999999999999999,Andalucía,
-3.0215200000000002,36.745199999999997,Adra,ESADR,0.29999999999999999,Andalucía,
-3.5215100000000001,36.721400000000003,Motril,ESMOT,0.5,Andalucía,
-4.0689299999999999,36.748199999999997,Caleta de Velez,ESVMG,0.29999999999999999,Andalucía,
-4.4213899999999997,36.709200000000003,Malaga,ESAGP,0.80000000000000004,Andalucía,
-4.6183100000000001,36.539900000000003,Fuengirola,ESFGL,0.20000000000000001,Andalucía,
-4.8731600000000004,36.506900000000002,Marbella,ESMQE,0.17999999999999999,Andalucía,
-5.1554500000000001,36.415900000000001,Estepona,ESEPN,0.17999999999999999,Andalucía,
-5.3350999999999997,36.180100000000003,La Linea,ESLLI,0.20000000000000001,Andalucía,
-5.4426699999999997,36.135399999999997,Algeciras,ESALG,1.5,Andalucía,
-5.9271500000000001,36.1858,Barbate,ESBDF,0.69999999999999996,Andalucía,
-6.1375700000000002,36.295499999999997,Conil,ESZEA,0.20000000000000001,Andalucía,
-6.2849500000000003,36.5310,Cadiz,ESCAD,1.6000000000000001,Andalucía,
-6.22600,36.593400000000003,Puerto de Santa Maria,ESPSM,2.5,Andalucía,
-6.35588,36.615499999999997,Rota,ESROT,0.5,Andalucía,
-6.4312500000000004,36.745800000000003,Chipiona,ESCHP,0.59999999999999998,Andalucía,
-6.3374699999999997,36.8035,Sanlucar,ESSLB,3,Andalucía,
-6.83087,37.129899999999999,Mazagon,ESMZA,0.40000000000000002,Andalucía,
-6.9604600000000003,37.183500000000002,Punta Umbria,ESZJY,1.5,Andalucía,
-6.9633700000000003,37.260800000000003,Huelva,ESHUV,8,Andalucía,
-7.17347,37.224400000000003,Lepe,ESLEP,2.3999999999999999,Andalucía,
-7.3409599999999999,37.187800000000003,Punta del Moral,,3,Andalucía,"No figura el código, este puerto si aparece en maestro SIRENO*"
-7.3298899999999998,37.2027,Isla Cristina,ESZGA,2,Andalucía,
-7.4153599999999997,37.2020,Ayamonte,ESAYA,0.90000000000000002,Andalucía,
