CODBU;FECHA;HORA;LatDec;LonDec;Veloc;Rumbo
3671;02/01/2018;7:07:45;36,69506836;-2,799283266;6,008099274;204,7700043
3671;02/01/2018;7:10:55;36,69013977;-2,801374912;5,711663104;193,8500061
3671;02/01/2018;7:14:04;36,68527985;-2,802063227;6,032937546;138,2799988
3671;02/01/2018;7:17:15;36,68082809;-2,798196793;6,284017027;150,8899994
3671;02/01/2018;7:20:25;36,67638016;-2,794286728;6,22732181;140,6300049
3671;02/01/2018;7:23:35;36,67198181;-2,790263176;6,269978653;143,4400024
3671;02/01/2018;7:26:45;36,66802216;-2,785583258;6,515658957;138,3600006
3671;02/01/2018;7:29:55;36,66377258;-2,781310082;6,488120839;136,2799988
3671;02/01/2018;7:33:05;36,66059875;-2,780704975;5,717602456;326,019989
3671;02/01/2018;7:36:16;36,66103363;-2,774941683;5,801835791;107,2300034
3671;02/01/2018;7:39:28;36,66038132;-2,768694878;5,933045311;94,98400116
3671;02/01/2018;7:42:37;36,66013336;-2,765423298;2,563390825;332,0700073
3671;02/01/2018;7:45:47;36,66011047;-2,765176773;0,735637179;115,9899979
3671;02/01/2018;7:45:57;36,66008759;-2,765148401;0,758855312;137,6100006
3671;02/01/2018;7:49:06;36,65989685;-2,765453339;1,455399568;210,1799927
3671;02/01/2018;7:52:16;36,65984726;-2,766098261;0,154103673;277,6900024
3671;02/01/2018;7:55:25;36,65975189;-2,76685667;0,653023789;306,2900085
3671;02/01/2018;7:58:36;36,65979385;-2,76753664;0,585529189;285,0100098
3671;02/01/2018;8:01:46;36,65973663;-2,76845336;0,882505405;253,8800049
3671;02/01/2018;8:04:56;36,6597023;-2,769390106;0,95809935;257,5599976
3671;03/01/2018;4:08:03;36,65345001;-2,800631523;1,221544284;258,0899963
3671;03/01/2018;4:11:12;36,65345383;-2,800780058;0,096814252;258,0899963
3671;03/01/2018;4:14:24;36,65348816;-2,800775051;0,393790509;258,0899963
3671;03/01/2018;4:17:34;36,65330505;-2,800958395;0,037958962;299,8200073
3671;03/01/2018;4:20:44;36,65311432;-2,801486731;0,214524841;268,5799866
3671;03/01/2018;4:23:52;36,65308762;-2,801620007;0,192386607;311,0700073
3671;03/01/2018;4:27:04;36,65298462;-2,801496744;0,300377961;317,8099976
3671;03/01/2018;4:30:13;36,65307617;-2,801286697;0,661069129;55,95000076
3671;03/01/2018;4:33:23;36,65317917;-2,801029921;0,216144706;55,95000076
3671;03/01/2018;4:36:34;36,6528511;-2,801306725;1,697786169;265,3399963
3671;03/01/2018;4:39:43;36,65301514;-2,801904917;0,616792662;249,2400055
3671;03/01/2018;4:42:54;36,65310669;-2,801964998;0,380291569;24,38299942
3671;03/01/2018;4:46:04;36,65308762;-2,801858425;1,058477305;126,7399979
3671;03/01/2018;4:49:13;36,65298462;-2,801668406;0,668628491;65,62999725
3671;03/01/2018;4:52:24;36,65306854;-2,801380158;0,561717069;65,62999725
3671;03/01/2018;4:55:34;36,65314865;-2,801145077;0,121652267;69,81999969
3671;03/01/2018;4:58:44;36,65322495;-2,800945044;0,199406052;69,81999969
3671;03/01/2018;5:01:54;36,65330887;-2,800585032;0,951565883;56,81000137
3671;03/01/2018;5:05:04;36,65342331;-2,7999084;0,323596127;81,30999756
3671;03/01/2018;5:08:15;36,65335464;-2,799296618;0,372732175;68,97000122
3671;03/01/2018;5:11:26;36,65340424;-2,798496723;0,053077755;117,3799973
3671;03/01/2018;5:14:35;36,65347672;-2,798151732;0,104373647;117,3799973
3671;03/01/2018;5:17:46;36,65352631;-2,797873259;0,334395253;117,3799973
20857;22/02/2018;10:19:57;36,68891525;-3,486044884;0,687311007;306,5299988
20857;22/02/2018;10:23:03;36,68878937;-3,486186743;4,627915747;152,5800018
20857;22/02/2018;10:26:07;36,68603897;-3,480941773;7,170626206;115,3000031
20857;22/02/2018;10:29:11;36,68390656;-3,476466656;5,002807593;111,0199966
20857;22/02/2018;10:32:16;36,68640518;-3,476616621;5,651187691;337,9299927
20857;22/02/2018;10:35:20;36,6889267;-3,478928328;5,837472932;170,9600067
20857;22/02/2018;10:38:26;36,68692017;-3,480893374;6,17764578;295,3599854
20857;22/02/2018;10:41:29;36,68849945;-3,484641552;3,27780772;317,4500122
20857;22/02/2018;10:44:35;36,69248962;-3,488985062;5,867710381;325,2799988
20857;22/02/2018;10:47:39;36,69672775;-3,493616581;6,974621931;318,8299866
20857;22/02/2018;10:50:44;36,70112991;-3,498571634;6,826134016;320,7900085
20857;22/02/2018;10:53:48;36,70546341;-3,50369668;7,010799247;313,4700012
20857;22/02/2018;10:56:53;36,70984268;-3,508901596;7,093952233;308,7399902
20857;22/02/2018;10:59:58;36,71404266;-3,514063358;7,306155582;309,2399902
20857;22/02/2018;11:03:03;36,7190094;-3,516846657;3,843088644;340,0100098
20857;22/02/2018;11:06:06;36,71967697;-3,522376537;6,347192286;301,8399963
20857;22/02/2018;11:09:12;36,72120285;-3,522611618;0,038444924;296,0499878
