Time,Latitude,Longitude,Altitude(m),Speed(km/h),Course,Distance(m),Visible Satellites,Satellites(CN>22),HDOP
"=""2023-07-18 05:45:36Z""",28.67231,-17.768971,20.4,0.11,220.87,0,9,9,1
"=""2023-07-18 05:48:47Z""",28.672333,-17.76914,20.8,1.87,60.92,16.68,8,7,1.1
"=""2023-07-18 05:51:52Z""",28.67235,-17.76899,10.5,0.79,253.55,14.76,8,8,1.1
"=""2023-07-18 05:54:58Z""",28.672256,-17.76895,5.2,0.9,36.89,11.16,9,9,1.1
"=""2023-07-18 05:58:08Z""",28.672163,-17.766088,-9.4,10.33,123.63,279.41,8,5,1.1
"=""2023-07-18 06:01:16Z""",28.673661,-17.762901,22.8,9.25,11.06,352.73,9,9,1.2
"=""2023-07-18 06:04:23Z""",28.679168,-17.761035,13.1,13.79,25.23,638.84,9,8,1.1
"=""2023-07-18 06:07:37Z""",28.685488,-17.75822,4.9,17.68,14.23,754.5,8,8,1.2
"=""2023-07-18 06:10:42Z""",28.69223,-17.75576,4.9,15.66,27.7,787.14,8,8,1.3
"=""2023-07-18 06:13:50Z""",28.698656,-17.751315,5.4,16.09,38.27,835.79,8,8,1.3
"=""2023-07-18 06:16:59Z""",28.704828,-17.746001,7.2,17.32,39.32,860.01,8,6,1.3
"=""2023-07-18 06:20:19Z""",28.710853,-17.739791,8.5,16.06,40.51,903.12,9,8,1.3
"=""2023-07-18 06:23:24Z""",28.716433,-17.733861,14.3,16.49,43.56,848.18,8,5,1.3
"=""2023-07-18 06:26:29Z""",28.722815,-17.728686,8.7,13.72,40.58,870.78,7,7,1.3
"=""2023-07-18 06:29:35Z""",28.727935,-17.725656,10.2,14.8,183.32,641.42,6,4,1.3
"=""2023-07-18 06:32:47Z""",28.726871,-17.725243,17.1,15.44,357.62,124.98,8,7,1.4
"=""2023-07-18 06:35:55Z""",28.733878,-17.722878,0.9,14.15,15.02,812.55,8,6,1.3
"=""2023-07-18 06:39:03Z""",28.740536,-17.719676,15.2,13.5,304.25,803.47,8,5,1.3
"=""2023-07-18 06:42:12Z""",28.741985,-17.721685,-2.4,4.97,214.66,253.62,8,6,1.3
"=""2023-07-18 06:45:31Z""",28.746998,-17.721218,10.7,15.41,3.49,559.28,10,7,1.4
"=""2023-07-18 06:48:36Z""",28.753951,-17.722553,-7.2,15.41,329.8,784.02,8,7,1.3
